compound_code	sample_id	group	exposure_time	value
DC1	BS24A	BS	24	0
DC1	BS24B	BS	24	0
DC1	BS24C	BS	24	0
DC1	CH24A	CH	24	0
DC1	CH24B	CH	24	0
DC1	CH24C	CH	24	0
DC1	BS48A	BS	48	0
DC1	BS48B	BS	48	0
DC1	BS48C	BS	48	0
DC1	CH48A	CH	48	0
DC1	CH48B	CH	48	0
DC1	CH48C	CH	48	0
DC1	BS72A	BS	72	0
DC1	BS72B	BS	72	0
DC1	BS72C	BS	72	16593
DC1	CH72A	CH	72	0
DC1	CH72B	CH	72	15069
DC1	CH72C	CH	72	0
DC2	BS24A	BS	24	0
DC2	BS24B	BS	24	0
DC2	BS24C	BS	24	0
DC2	CH24A	CH	24	198000
DC2	CH24B	CH	24	99157
DC2	CH24C	CH	24	358393
DC2	BS48A	BS	48	0
DC2	BS48B	BS	48	0
DC2	BS48C	BS	48	0
DC2	CH48A	CH	48	263886
DC2	CH48B	CH	48	70702
DC2	CH48C	CH	48	62757
DC2	BS72A	BS	72	0
DC2	BS72B	BS	72	0
DC2	BS72C	BS	72	0
DC2	CH72A	CH	72	31990
DC2	CH72B	CH	72	81143
DC2	CH72C	CH	72	53093
DC3	BS24A	BS	24	22607
DC3	BS24B	BS	24	24501
DC3	BS24C	BS	24	0
DC3	CH24A	CH	24	16479
DC3	CH24B	CH	24	0
DC3	CH24C	CH	24	17060
DC3	BS48A	BS	48	0
DC3	BS48B	BS	48	0
DC3	BS48C	BS	48	0
DC3	CH48A	CH	48	0
DC3	CH48B	CH	48	0
DC3	CH48C	CH	48	0
DC3	BS72A	BS	72	0
DC3	BS72B	BS	72	0
DC3	BS72C	BS	72	0
DC3	CH72A	CH	72	0
DC3	CH72B	CH	72	0
DC3	CH72C	CH	72	0
DC4	BS24A	BS	24	18595
DC4	BS24B	BS	24	22313
DC4	BS24C	BS	24	0
DC4	CH24A	CH	24	14154
DC4	CH24B	CH	24	0
DC4	CH24C	CH	24	16509
DC4	BS48A	BS	48	0
DC4	BS48B	BS	48	0
DC4	BS48C	BS	48	0
DC4	CH48A	CH	48	0
DC4	CH48B	CH	48	0
DC4	CH48C	CH	48	0
DC4	BS72A	BS	72	0
DC4	BS72B	BS	72	0
DC4	BS72C	BS	72	0
DC4	CH72A	CH	72	0
DC4	CH72B	CH	72	0
DC4	CH72C	CH	72	0
DC5	BS24A	BS	24	0
DC5	BS24B	BS	24	0
DC5	BS24C	BS	24	0
DC5	CH24A	CH	24	0
DC5	CH24B	CH	24	0
DC5	CH24C	CH	24	0
DC5	BS48A	BS	48	0
DC5	BS48B	BS	48	0
DC5	BS48C	BS	48	31050
DC5	CH48A	CH	48	10063
DC5	CH48B	CH	48	10630
DC5	CH48C	CH	48	0
DC5	BS72A	BS	72	0
DC5	BS72B	BS	72	0
DC5	BS72C	BS	72	0
DC5	CH72A	CH	72	0
DC5	CH72B	CH	72	0
DC5	CH72C	CH	72	0
DC6	BS24A	BS	24	22230
DC6	BS24B	BS	24	26123
DC6	BS24C	BS	24	0
DC6	CH24A	CH	24	27766
DC6	CH24B	CH	24	14837
DC6	CH24C	CH	24	34386
DC6	BS48A	BS	48	0
DC6	BS48B	BS	48	0
DC6	BS48C	BS	48	0
DC6	CH48A	CH	48	0
DC6	CH48B	CH	48	0
DC6	CH48C	CH	48	0
DC6	BS72A	BS	72	0
DC6	BS72B	BS	72	0
DC6	BS72C	BS	72	0
DC6	CH72A	CH	72	0
DC6	CH72B	CH	72	0
DC6	CH72C	CH	72	0
DC7	BS24A	BS	24	70893
DC7	BS24B	BS	24	87320
DC7	BS24C	BS	24	34425
DC7	CH24A	CH	24	84511
DC7	CH24B	CH	24	55512
DC7	CH24C	CH	24	122808
DC7	BS48A	BS	48	72770
DC7	BS48B	BS	48	32277
DC7	BS48C	BS	48	93230
DC7	CH48A	CH	48	93815
DC7	CH48B	CH	48	89060
DC7	CH48C	CH	48	25935
DC7	BS72A	BS	72	24031
DC7	BS72B	BS	72	34087
DC7	BS72C	BS	72	41173
DC7	CH72A	CH	72	28485
DC7	CH72B	CH	72	124478
DC7	CH72C	CH	72	70946
DC8	BS24A	BS	24	16671
DC8	BS24B	BS	24	19682
DC8	BS24C	BS	24	0
DC8	CH24A	CH	24	19277
DC8	CH24B	CH	24	0
DC8	CH24C	CH	24	29430
DC8	BS48A	BS	48	0
DC8	BS48B	BS	48	0
DC8	BS48C	BS	48	15501
DC8	CH48A	CH	48	16470
DC8	CH48B	CH	48	15610
DC8	CH48C	CH	48	0
DC8	BS72A	BS	72	0
DC8	BS72B	BS	72	0
DC8	BS72C	BS	72	0
DC8	CH72A	CH	72	0
DC8	CH72B	CH	72	25495
DC8	CH72C	CH	72	15058
DC9	BS24A	BS	24	0
DC9	BS24B	BS	24	13983
DC9	BS24C	BS	24	0
DC9	CH24A	CH	24	13564
DC9	CH24B	CH	24	0
DC9	CH24C	CH	24	22283
DC9	BS48A	BS	48	13471
DC9	BS48B	BS	48	0
DC9	BS48C	BS	48	15749
DC9	CH48A	CH	48	0
DC9	CH48B	CH	48	0
DC9	CH48C	CH	48	0
DC9	BS72A	BS	72	0
DC9	BS72B	BS	72	0
DC9	BS72C	BS	72	0
DC9	CH72A	CH	72	0
DC9	CH72B	CH	72	31908
DC9	CH72C	CH	72	19736
DC10	BS24A	BS	24	42132
DC10	BS24B	BS	24	47916
DC10	BS24C	BS	24	24263
DC10	CH24A	CH	24	55989
DC10	CH24B	CH	24	37153
DC10	CH24C	CH	24	85445
DC10	BS48A	BS	48	35897
DC10	BS48B	BS	48	28817
DC10	BS48C	BS	48	39738
DC10	CH48A	CH	48	42711
DC10	CH48B	CH	48	38369
DC10	CH48C	CH	48	24846
DC10	BS72A	BS	72	14014
DC10	BS72B	BS	72	17189
DC10	BS72C	BS	72	23095
DC10	CH72A	CH	72	16787
DC10	CH72B	CH	72	77753
DC10	CH72C	CH	72	46507
DC11	BS24A	BS	24	12983
DC11	BS24B	BS	24	15435
DC11	BS24C	BS	24	0
DC11	CH24A	CH	24	16488
DC11	CH24B	CH	24	0
DC11	CH24C	CH	24	26510
DC11	BS48A	BS	48	0
DC11	BS48B	BS	48	0
DC11	BS48C	BS	48	0
DC11	CH48A	CH	48	0
DC11	CH48B	CH	48	0
DC11	CH48C	CH	48	0
DC11	BS72A	BS	72	0
DC11	BS72B	BS	72	0
DC11	BS72C	BS	72	0
DC11	CH72A	CH	72	0
DC11	CH72B	CH	72	21096
DC11	CH72C	CH	72	13018
DC12	BS24A	BS	24	24855
DC12	BS24B	BS	24	30922
DC12	BS24C	BS	24	15658
DC12	CH24A	CH	24	33806
DC12	CH24B	CH	24	45346
DC12	CH24C	CH	24	75751
DC12	BS48A	BS	48	65737
DC12	BS48B	BS	48	49699
DC12	BS48C	BS	48	78800
DC12	CH48A	CH	48	77393
DC12	CH48B	CH	48	60772
DC12	CH48C	CH	48	37165
DC12	BS72A	BS	72	22017
DC12	BS72B	BS	72	24099
DC12	BS72C	BS	72	28558
DC12	CH72A	CH	72	27864
DC12	CH72B	CH	72	81091
DC12	CH72C	CH	72	70249
DC13	BS24A	BS	24	13043
DC13	BS24B	BS	24	16287
DC13	BS24C	BS	24	0
DC13	CH24A	CH	24	18801
DC13	CH24B	CH	24	23506
DC13	CH24C	CH	24	40869
DC13	BS48A	BS	48	26503
DC13	BS48B	BS	48	27047
DC13	BS48C	BS	48	37279
DC13	CH48A	CH	48	32142
DC13	CH48B	CH	48	26668
DC13	CH48C	CH	48	22379
DC13	BS72A	BS	72	0
DC13	BS72B	BS	72	0
DC13	BS72C	BS	72	0
DC13	CH72A	CH	72	0
DC13	CH72B	CH	72	40695
DC13	CH72C	CH	72	33585
DC14	BS24A	BS	24	71355
DC14	BS24B	BS	24	143337
DC14	BS24C	BS	24	135951
DC14	CH24A	CH	24	145882
DC14	CH24B	CH	24	92264
DC14	CH24C	CH	24	155116
DC14	BS48A	BS	48	79178
DC14	BS48B	BS	48	77718
DC14	BS48C	BS	48	78432
DC14	CH48A	CH	48	77525
DC14	CH48B	CH	48	71571
DC14	CH48C	CH	48	59927
DC14	BS72A	BS	72	56492
DC14	BS72B	BS	72	58953
DC14	BS72C	BS	72	63281
DC14	CH72A	CH	72	45450
DC14	CH72B	CH	72	111764
DC14	CH72C	CH	72	68253
DC15	BS24A	BS	24	0
DC15	BS24B	BS	24	0
DC15	BS24C	BS	24	0
DC15	CH24A	CH	24	0
DC15	CH24B	CH	24	28159
DC15	CH24C	CH	24	53679
DC15	BS48A	BS	48	26774
DC15	BS48B	BS	48	41129
DC15	BS48C	BS	48	59215
DC15	CH48A	CH	48	46490
DC15	CH48B	CH	48	36832
DC15	CH48C	CH	48	37244
DC15	BS72A	BS	72	0
DC15	BS72B	BS	72	0
DC15	BS72C	BS	72	0
DC15	CH72A	CH	72	0
DC15	CH72B	CH	72	0
DC15	CH72C	CH	72	0
DC16	BS24A	BS	24	0
DC16	BS24B	BS	24	0
DC16	BS24C	BS	24	0
DC16	CH24A	CH	24	0
DC16	CH24B	CH	24	45903
DC16	CH24C	CH	24	57751
DC16	BS48A	BS	48	0
DC16	BS48B	BS	48	0
DC16	BS48C	BS	48	0
DC16	CH48A	CH	48	0
DC16	CH48B	CH	48	0
DC16	CH48C	CH	48	0
DC16	BS72A	BS	72	0
DC16	BS72B	BS	72	0
DC16	BS72C	BS	72	0
DC16	CH72A	CH	72	0
DC16	CH72B	CH	72	0
DC16	CH72C	CH	72	0
DC17	BS24A	BS	24	0
DC17	BS24B	BS	24	0
DC17	BS24C	BS	24	0
DC17	CH24A	CH	24	0
DC17	CH24B	CH	24	0
DC17	CH24C	CH	24	0
DC17	BS48A	BS	48	0
DC17	BS48B	BS	48	17699
DC17	BS48C	BS	48	23623
DC17	CH48A	CH	48	16912
DC17	CH48B	CH	48	15082
DC17	CH48C	CH	48	16438
DC17	BS72A	BS	72	0
DC17	BS72B	BS	72	0
DC17	BS72C	BS	72	0
DC17	CH72A	CH	72	0
DC17	CH72B	CH	72	0
DC17	CH72C	CH	72	0
DC18	BS24A	BS	24	273526
DC18	BS24B	BS	24	485839
DC18	BS24C	BS	24	323787
DC18	CH24A	CH	24	957915
DC18	CH24B	CH	24	969143
DC18	CH24C	CH	24	1183057
DC18	BS48A	BS	48	92760
DC18	BS48B	BS	48	216540
DC18	BS48C	BS	48	362759
DC18	CH48A	CH	48	168834
DC18	CH48B	CH	48	225561
DC18	CH48C	CH	48	181162
DC18	BS72A	BS	72	0
DC18	BS72B	BS	72	0
DC18	BS72C	BS	72	19619
DC18	CH72A	CH	72	29861
DC18	CH72B	CH	72	0
DC18	CH72C	CH	72	22125
DC19	BS24A	BS	24	155172
DC19	BS24B	BS	24	140616
DC19	BS24C	BS	24	220062
DC19	CH24A	CH	24	573565
DC19	CH24B	CH	24	737967
DC19	CH24C	CH	24	567006
DC19	BS48A	BS	48	53656
DC19	BS48B	BS	48	84279
DC19	BS48C	BS	48	134649
DC19	CH48A	CH	48	82637
DC19	CH48B	CH	48	148856
DC19	CH48C	CH	48	123914
DC19	BS72A	BS	72	0
DC19	BS72B	BS	72	0
DC19	BS72C	BS	72	12083
DC19	CH72A	CH	72	25217
DC19	CH72B	CH	72	13554
DC19	CH72C	CH	72	25100
