compound_name	compound_code
3-Hydroxybutan-2-one	DC1
Octa-1,3-diene	DC2
Butane-2,3-diol	DC3
3-Methylbutanoic acid	DC4
Methoxybenzene	DC5
Hept-2-enal	DC6
Oct-1-en-3-ol	DC7
Octan-3-one	DC8
1,2,7,7-Tetramethylbicyclo[2.2.1]hept-2-ene	DC9
Octan-3-ol	DC10
Methyl 2,4-dimethylhexanoate	DC11
1,3-Dimethoxybenzene	DC12
Methyl 2-phenylacetate	DC13
3-Methoxyphenol	DC14
1,2,3-Trimethoxybenzene	DC15
3,4-Dimethoxyphenol	DC16
1,2,4-Trimethoxybenzene	DC17
(1S,5S,6R)-2,6-Dimethyl-6-(4-methylpent-3-enyl)bicyclo[3.1.1]hept-2-ene	DC18
1,3-Dimethoxy-2-methylbenzene	DC19
(6Z)-7,11-Dimethyl-3-methylene-1,6,10-dodecatriene	DC20
(4S)-1-Methyl-4-(6-methylhepta-1,5-dien-2-yl)cyclohexene	DC21
1,4-Dichloro-2,5-dimethoxybenzene	DC22
2,4-Dimethylquinoline	DC23
1,2,3,4-Tetramethoxybenzene	DC24
2,7,7,10-Tetramethyl-3-oxatetracyclo[7.3.0.02,4.06,8]dodecane	DC25
