compound_code	sample_id	group	DAI	value
DC1	BS10A	BS	15	49170
DC1	BS10B	BS	15	25110
DC1	BS10C	BS	15	124928
DC1	CH10A	CH	15	96042
DC1	CH10B	CH	15	200309
DC1	CH10C	CH	15	124260
DC1	BS20A	BS	25	149351
DC1	BS20B	BS	25	95115
DC1	BS20C	BS	25	132197
DC1	CH20A	CH	25	156752
DC1	CH20B	CH	25	758404
DC1	CH20C	CH	25	251539
DC1	BS30A	BS	35	0
DC1	BS30B	BS	35	0
DC1	BS30C	BS	35	0
DC1	CH30A	CH	35	0
DC1	CH30B	CH	35	0
DC1	CH30C	CH	35	0
DC2	BS10A	BS	15	42518
DC2	BS10B	BS	15	24065
DC2	BS10C	BS	15	104175
DC2	CH10A	CH	15	136229
DC2	CH10B	CH	15	61689
DC2	CH10C	CH	15	71732
DC2	BS20A	BS	25	0
DC2	BS20B	BS	25	58560
DC2	BS20C	BS	25	107711
DC2	CH20A	CH	25	58400
DC2	CH20B	CH	25	91942
DC2	CH20C	CH	25	58899
DC2	BS30A	BS	35	21392
DC2	BS30B	BS	35	10285
DC2	BS30C	BS	35	18420
DC2	CH30A	CH	35	50292
DC2	CH30B	CH	35	55657
DC2	CH30C	CH	35	14817
DC3	BS10A	BS	15	0
DC3	BS10B	BS	15	0
DC3	BS10C	BS	15	20461
DC3	CH10A	CH	15	13873
DC3	CH10B	CH	15	94209
DC3	CH10C	CH	15	8689
DC3	BS20A	BS	25	0
DC3	BS20B	BS	25	0
DC3	BS20C	BS	25	0
DC3	CH20A	CH	25	0
DC3	CH20B	CH	25	0
DC3	CH20C	CH	25	0
DC3	BS30A	BS	35	0
DC3	BS30B	BS	35	0
DC3	BS30C	BS	35	0
DC3	CH30A	CH	35	0
DC3	CH30B	CH	35	0
DC3	CH30C	CH	35	0
DC4	BS10A	BS	15	0
DC4	BS10B	BS	15	0
DC4	BS10C	BS	15	0
DC4	CH10A	CH	15	13961
DC4	CH10B	CH	15	17391
DC4	CH10C	CH	15	11908
DC4	BS20A	BS	25	0
DC4	BS20B	BS	25	0
DC4	BS20C	BS	25	0
DC4	CH20A	CH	25	0
DC4	CH20B	CH	25	0
DC4	CH20C	CH	25	0
DC4	BS30A	BS	35	0
DC4	BS30B	BS	35	0
DC4	BS30C	BS	35	0
DC4	CH30A	CH	35	0
DC4	CH30B	CH	35	0
DC4	CH30C	CH	35	0
DC5	BS10A	BS	15	84054
DC5	BS10B	BS	15	35899
DC5	BS10C	BS	15	88859
DC5	CH10A	CH	15	59756
DC5	CH10B	CH	15	35800
DC5	CH10C	CH	15	59668
DC5	BS20A	BS	25	89274
DC5	BS20B	BS	25	42418
DC5	BS20C	BS	25	144216
DC5	CH20A	CH	25	144496
DC5	CH20B	CH	25	172671
DC5	CH20C	CH	25	139674
DC5	BS30A	BS	35	97694
DC5	BS30B	BS	35	7049
DC5	BS30C	BS	35	14695
DC5	CH30A	CH	35	0
DC5	CH30B	CH	35	0
DC5	CH30C	CH	35	9987
DC6	BS10A	BS	15	0
DC6	BS10B	BS	15	0
DC6	BS10C	BS	15	0
DC6	CH10A	CH	15	0
DC6	CH10B	CH	15	0
DC6	CH10C	CH	15	0
DC6	BS20A	BS	25	0
DC6	BS20B	BS	25	0
DC6	BS20C	BS	25	22129
DC6	CH20A	CH	25	18169
DC6	CH20B	CH	25	20484
DC6	CH20C	CH	25	9746
DC6	BS30A	BS	35	0
DC6	BS30B	BS	35	0
DC6	BS30C	BS	35	0
DC6	CH30A	CH	35	0
DC6	CH30B	CH	35	0
DC6	CH30C	CH	35	0
DC7	BS10A	BS	15	912785
DC7	BS10B	BS	15	497718
DC7	BS10C	BS	15	537739
DC7	CH10A	CH	15	811399
DC7	CH10B	CH	15	0
DC7	CH10C	CH	15	386399
DC7	BS20A	BS	25	0
DC7	BS20B	BS	25	0
DC7	BS20C	BS	25	0
DC7	CH20A	CH	25	0
DC7	CH20B	CH	25	0
DC7	CH20C	CH	25	0
DC7	BS30A	BS	35	0
DC7	BS30B	BS	35	0
DC7	BS30C	BS	35	0
DC7	CH30A	CH	35	0
DC7	CH30B	CH	35	0
DC7	CH30C	CH	35	0
DC8	BS10A	BS	15	0
DC8	BS10B	BS	15	0
DC8	BS10C	BS	15	0
DC8	CH10A	CH	15	0
DC8	CH10B	CH	15	0
DC8	CH10C	CH	15	0
DC8	BS20A	BS	25	452229
DC8	BS20B	BS	25	378777
DC8	BS20C	BS	25	366916
DC8	CH20A	CH	25	227297
DC8	CH20B	CH	25	335915
DC8	CH20C	CH	25	268528
DC8	BS30A	BS	35	0
DC8	BS30B	BS	35	0
DC8	BS30C	BS	35	0
DC8	CH30A	CH	35	0
DC8	CH30B	CH	35	0
DC8	CH30C	CH	35	0
DC9	BS10A	BS	15	0
DC9	BS10B	BS	15	0
DC9	BS10C	BS	15	49006
DC9	CH10A	CH	15	38537
DC9	CH10B	CH	15	29240
DC9	CH10C	CH	15	17527
DC9	BS20A	BS	25	27833
DC9	BS20B	BS	25	11621
DC9	BS20C	BS	25	21497
DC9	CH20A	CH	25	20175
DC9	CH20B	CH	25	23052
DC9	CH20C	CH	25	16252
DC9	BS30A	BS	35	0
DC9	BS30B	BS	35	0
DC9	BS30C	BS	35	0
DC9	CH30A	CH	35	0
DC9	CH30B	CH	35	0
DC9	CH30C	CH	35	0
DC10	BS10A	BS	15	156850
DC10	BS10B	BS	15	72801
DC10	BS10C	BS	15	128594
DC10	CH10A	CH	15	170207
DC10	CH10B	CH	15	129468
DC10	CH10C	CH	15	91343
DC10	BS20A	BS	25	152497
DC10	BS20B	BS	25	121688
DC10	BS20C	BS	25	70059
DC10	CH20A	CH	25	28548
DC10	CH20B	CH	25	53535
DC10	CH20C	CH	25	57235
DC10	BS30A	BS	35	0
DC10	BS30B	BS	35	0
DC10	BS30C	BS	35	0
DC10	CH30A	CH	35	0
DC10	CH30B	CH	35	0
DC10	CH30C	CH	35	0
DC11	BS10A	BS	15	0
DC11	BS10B	BS	15	0
DC11	BS10C	BS	15	0
DC11	CH10A	CH	15	21619
DC11	CH10B	CH	15	24945
DC11	CH10C	CH	15	25096
DC11	BS20A	BS	25	0
DC11	BS20B	BS	25	0
DC11	BS20C	BS	25	0
DC11	CH20A	CH	25	0
DC11	CH20B	CH	25	0
DC11	CH20C	CH	25	0
DC11	BS30A	BS	35	0
DC11	BS30B	BS	35	0
DC11	BS30C	BS	35	0
DC11	CH30A	CH	35	0
DC11	CH30B	CH	35	0
DC11	CH30C	CH	35	0
DC12	BS10A	BS	15	33802240
DC12	BS10B	BS	15	31712708
DC12	BS10C	BS	15	25169642
DC12	CH10A	CH	15	23812670
DC12	CH10B	CH	15	20417727
DC12	CH10C	CH	15	25960472
DC12	BS20A	BS	25	25922876
DC12	BS20B	BS	25	19492728
DC12	BS20C	BS	25	26140863
DC12	CH20A	CH	25	28439239
DC12	CH20B	CH	25	28941210
DC12	CH20C	CH	25	26101793
DC12	BS30A	BS	35	23742377
DC12	BS30B	BS	35	25432642
DC12	BS30C	BS	35	24382776
DC12	CH30A	CH	35	2106161
DC12	CH30B	CH	35	1909235
DC12	CH30C	CH	35	22238350
DC13	BS10A	BS	15	0
DC13	BS10B	BS	15	0
DC13	BS10C	BS	15	63325
DC13	CH10A	CH	15	45146
DC13	CH10B	CH	15	51439
DC13	CH10C	CH	15	50045
DC13	BS20A	BS	25	33470
DC13	BS20B	BS	25	16815
DC13	BS20C	BS	25	29674
DC13	CH20A	CH	25	35013
DC13	CH20B	CH	25	34594
DC13	CH20C	CH	25	24685
DC13	BS30A	BS	35	0
DC13	BS30B	BS	35	0
DC13	BS30C	BS	35	0
DC13	CH30A	CH	35	0
DC13	CH30B	CH	35	0
DC13	CH30C	CH	35	0
DC14	BS10A	BS	15	41516
DC14	BS10B	BS	15	63231
DC14	BS10C	BS	15	66687
DC14	CH10A	CH	15	79714
DC14	CH10B	CH	15	42786
DC14	CH10C	CH	15	99251
DC14	BS20A	BS	25	34146
DC14	BS20B	BS	25	86830
DC14	BS20C	BS	25	127051
DC14	CH20A	CH	25	173024
DC14	CH20B	CH	25	187455
DC14	CH20C	CH	25	213938
DC14	BS30A	BS	35	502795
DC14	BS30B	BS	35	14235
DC14	BS30C	BS	35	13729
DC14	CH30A	CH	35	0
DC14	CH30B	CH	35	0
DC14	CH30C	CH	35	0
DC15	BS10A	BS	15	0
DC15	BS10B	BS	15	0
DC15	BS10C	BS	15	0
DC15	CH10A	CH	15	0
DC15	CH10B	CH	15	0
DC15	CH10C	CH	15	0
DC15	BS20A	BS	25	0
DC15	BS20B	BS	25	0
DC15	BS20C	BS	25	0
DC15	CH20A	CH	25	0
DC15	CH20B	CH	25	0
DC15	CH20C	CH	25	0
DC15	BS30A	BS	35	0
DC15	BS30B	BS	35	135223
DC15	BS30C	BS	35	101792
DC15	CH30A	CH	35	0
DC15	CH30B	CH	35	0
DC15	CH30C	CH	35	95240
DC16	BS10A	BS	15	17402
DC16	BS10B	BS	15	27722
DC16	BS10C	BS	15	16112
DC16	CH10A	CH	15	8348
DC16	CH10B	CH	15	14946
DC16	CH10C	CH	15	14212
DC16	BS20A	BS	25	19251
DC16	BS20B	BS	25	11538
DC16	BS20C	BS	25	18230
DC16	CH20A	CH	25	27141
DC16	CH20B	CH	25	24738
DC16	CH20C	CH	25	25500
DC16	BS30A	BS	35	48501
DC16	BS30B	BS	35	18289
DC16	BS30C	BS	35	75503
DC16	CH30A	CH	35	0
DC16	CH30B	CH	35	0
DC16	CH30C	CH	35	15023
DC17	BS10A	BS	15	0
DC17	BS10B	BS	15	0
DC17	BS10C	BS	15	0
DC17	CH10A	CH	15	0
DC17	CH10B	CH	15	0
DC17	CH10C	CH	15	0
DC17	BS20A	BS	25	0
DC17	BS20B	BS	25	0
DC17	BS20C	BS	25	0
DC17	CH20A	CH	25	0
DC17	CH20B	CH	25	0
DC17	CH20C	CH	25	0
DC17	BS30A	BS	35	0
DC17	BS30B	BS	35	106465
DC17	BS30C	BS	35	100914
DC17	CH30A	CH	35	0
DC17	CH30B	CH	35	0
DC17	CH30C	CH	35	75132
DC18	BS10A	BS	15	82629
DC18	BS10B	BS	15	89606
DC18	BS10C	BS	15	101836
DC18	CH10A	CH	15	86203
DC18	CH10B	CH	15	100190
DC18	CH10C	CH	15	67192
DC18	BS20A	BS	25	155557
DC18	BS20B	BS	25	65507
DC18	BS20C	BS	25	66849
DC18	CH20A	CH	25	45861
DC18	CH20B	CH	25	56634
DC18	CH20C	CH	25	30630
DC18	BS30A	BS	35	0
DC18	BS30B	BS	35	0
DC18	BS30C	BS	35	0
DC18	CH30A	CH	35	0
DC18	CH30B	CH	35	0
DC18	CH30C	CH	35	0
DC19	BS10A	BS	15	16022
DC19	BS10B	BS	15	20208
DC19	BS10C	BS	15	6365
DC19	CH10A	CH	15	5937
DC19	CH10B	CH	15	4839
DC19	CH10C	CH	15	13921
DC19	BS20A	BS	25	0
DC19	BS20B	BS	25	0
DC19	BS20C	BS	25	0
DC19	CH20A	CH	25	0
DC19	CH20B	CH	25	0
DC19	CH20C	CH	25	0
DC19	BS30A	BS	35	0
DC19	BS30B	BS	35	0
DC19	BS30C	BS	35	0
DC19	CH30A	CH	35	0
DC19	CH30B	CH	35	0
DC19	CH30C	CH	35	0
DC20	BS10A	BS	15	1206425
DC20	BS10B	BS	15	998428
DC20	BS10C	BS	15	1103695
DC20	CH10A	CH	15	879207
DC20	CH10B	CH	15	959994
DC20	CH10C	CH	15	927929
DC20	BS20A	BS	25	2112201
DC20	BS20B	BS	25	963881
DC20	BS20C	BS	25	1132495
DC20	CH20A	CH	25	973183
DC20	CH20B	CH	25	1601236
DC20	CH20C	CH	25	629907
DC20	BS30A	BS	35	693044
DC20	BS30B	BS	35	331283
DC20	BS30C	BS	35	303058
DC20	CH30A	CH	35	132537
DC20	CH30B	CH	35	86597
DC20	CH30C	CH	35	310134
DC21	BS10A	BS	15	18760
DC21	BS10B	BS	15	19444
DC21	BS10C	BS	15	24163
DC21	CH10A	CH	15	20161
DC21	CH10B	CH	15	23855
DC21	CH10C	CH	15	17508
DC21	BS20A	BS	25	34049
DC21	BS20B	BS	25	13721
DC21	BS20C	BS	25	16100
DC21	CH20A	CH	25	13913
DC21	CH20B	CH	25	21382
DC21	CH20C	CH	25	8854
DC21	BS30A	BS	35	13803
DC21	BS30B	BS	35	17299
DC21	BS30C	BS	35	12587
DC21	CH30A	CH	35	0
DC21	CH30B	CH	35	0
DC21	CH30C	CH	35	11018
DC22	BS10A	BS	15	0
DC22	BS10B	BS	15	0
DC22	BS10C	BS	15	0
DC22	CH10A	CH	15	0
DC22	CH10B	CH	15	0
DC22	CH10C	CH	15	0
DC22	BS20A	BS	25	0
DC22	BS20B	BS	25	0
DC22	BS20C	BS	25	0
DC22	CH20A	CH	25	0
DC22	CH20B	CH	25	0
DC22	CH20C	CH	25	0
DC22	BS30A	BS	35	0
DC22	BS30B	BS	35	23269
DC22	BS30C	BS	35	44287
DC22	CH30A	CH	35	0
DC22	CH30B	CH	35	0
DC22	CH30C	CH	35	23948
DC23	BS10A	BS	15	7463
